,column_name,shap_importance
4,YearsCodingProf,13677.4990234375
667,Country_UnitedStates,12816.3984375
665,Country_UnitedKingdom,7735.43603515625
1,Age,4735.7294921875
553,Country_Germany,3764.984130859375
305,RaceEthnicity_White_or_of_European_descent,3590.580322265625
474,AssessBenefits2_Bad,3141.7431640625
500,Country_Australia,2472.706787109375
15,DevType_Student,2467.472412109375
522,Country_Canada,2444.949462890625
566,Country_India,2053.343017578125
549,Country_France,1938.0865478515625
650,Country_Switzerland,1833.595703125
180,PlatformWorkedWith_AWS,1769.9595947265625
436,CompanySize_Big_2500_12500,1640.902099609375
570,Country_Ireland,1632.1077880859375
46,SelfTaughtTypes_The_official_documentation_and_or_standards_for_the_technology,1576.4759521484375
473,JobEmailPriorities6_Good,1485.420654296875
71,LanguageWorkedWith_C++,1452.7823486328125
26,CommunicationTools_Slack,1415.66796875
438,CompanySize_Small_5_60,1407.924560546875
100,LanguageDesireNextYear_JavaScript,1304.4046630859375
629,Country_RussianFederation,1282.1966552734375
471,AssessJob1_Good,1258.441162109375
644,Country_Spain,1244.750244140625
38,EducationTypes_Participated_in_a_hackathon,1218.6241455078125
185,PlatformWorkedWith_Windows_Desktop_or_Server,1209.8592529296875
614,Country_Norway,1168.7532958984375
34,CommunicationTools_Google_Hangouts_Chat,1147.8519287109375
10,DevType_Engineering_manager,1120.6937255859375
445,AdsPriorities6_Bad,1106.4697265625
404,NumberMonitors_1,1095.135986328125
39,EducationTypes_Contributed_to_open_source_software,1080.8175048828125
388,Employment_full_time,1057.31591796875
572,Country_Italy,1035.9310302734375
141,DatabaseWorkedWith_PostgreSQL,1009.658203125
268,IDE_Android_Studio,1005.738037109375
278,Methodology_Agile,1004.4990844726562
419,CareerSatisfaction_Moderatelysatisfied,972.8017578125
2,Exercise,962.2135620117188
27,CommunicationTools_Confluence,961.4926147460938
282,Methodology_Formal_standard_such_as_ISO_9001_or_IEEE_12207_(aka_“waterfall”_methodologies),924.5972900390625
400,WakeTime_Between8_01_9_00AM,914.7371826171875
417,CareerSatisfaction_Extremelysatisfied,909.4735717773438
194,PlatformWorkedWith_Google_Cloud_Platform_App_Engine,879.0536499023438
41,EducationTypes_Taken_a_part_time_in_person_course_in_programming_or_software_development,838.76220703125
18,DevType_Designer,833.3477172851562
439,AdsPriorities7_Bad,797.3709716796875
608,Country_Netherlands,793.1224365234375
464,HopeFiveYears_Engineeringmanager,791.3099975585938
147,DatabaseWorkedWith_MongoDB,782.2850341796875
609,Country_NewZealand,775.93408203125
